City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,axim,4.8699,-2.2405,24.12,94,93,2.84,GH,1694724312
84,chui,-33.6971,-53.4616,11.06,78,73,2.0,UY,1694724312
85,mount isa,-20.7333,139.5,11.87,54,0,2.06,AU,1694724312
86,saint-philippe,-21.3585,55.7679,19.77,80,7,3.71,RE,1694724312
87,boca suno,-0.7167,-77.1333,28.77,95,100,0.93,EC,1694724313
88,quellon,-43.1167,-73.6167,12.14,94,100,7.2,CL,1694724313
89,ta`u,-14.2336,-169.5144,26.68,80,22,8.14,AS,1694724313
90,dudinka,69.4058,86.1778,8.68,89,98,5.77,RU,1694724313
91,donja mahala,45.0469,18.6664,20.72,76,59,3.06,BA,1694724313
92,jamestown,42.097,-79.2353,19.45,53,20,4.12,US,1694724314
93,mili,6.0815,171.735,28.36,76,57,3.72,MH,1694724314
94,mugia,43.1041,-9.2179,19.53,83,0,2.9,ES,1694724314
95,massawa,15.6097,39.45,32.32,63,21,5.17,ER,1694724315
96,ribeira grande,38.5167,-28.7,23.22,88,40,4.63,PT,1694724315
97,gizo,-8.103,156.8419,26.39,82,90,6.51,SB,1694724315
98,ghat,24.9647,10.1728,30.31,14,0,4.28,LY,1694724315
99,lompoc,34.6391,-120.4579,28.34,76,100,2.06,US,1694724315
100,carroll,39.5501,-77.0164,26.01,41,0,1.79,US,1694724316
101,ushuaia,-54.8,-68.3,4.81,65,40,5.66,AR,1694724121
102,filingue,14.3521,3.3168,34.35,41,58,3.72,NE,1694724316
103,uturoa,-16.7333,-151.4333,23.86,85,100,9.37,PF,1694724316
104,papatowai,-46.5619,169.4708,5.69,86,99,8.41,NZ,1694724317
105,anadyr,64.75,177.4833,4.28,93,75,1.0,RU,1694724317
106,tazacorte,28.629,-17.9293,24.54,73,75,7.2,ES,1694724317
107,gadzhiyevo,69.2551,33.3362,4.91,78,57,1.0,RU,1694724318
108,fortuna,40.5982,-124.1573,22.51,70,20,6.17,US,1694724318
109,uttar char fasson,22.2332,90.7132,27.8,85,100,8.94,BD,1694724318
110,constantia,44.1833,28.65,20.39,64,64,7.3,RO,1694724318
111,bredasdorp,-34.5322,20.0403,9.93,85,97,3.88,ZA,1694724318
112,kish,26.5578,54.0194,33.15,84,12,3.09,IR,1694724319
113,cadale,2.7603,46.3222,25.33,87,96,7.79,SO,1694724319
114,umba,66.6871,34.3429,7.94,90,99,3.68,RU,1694724319
115,huoqiu chengguanzhen,32.3547,116.2939,21.02,90,67,2.18,CN,1694724319
116,taltal,-25.4,-70.4833,20.06,60,22,2.04,CL,1694724320
117,veinticinco de mayo,-35.4323,-60.1727,17.77,46,100,2.68,AR,1694724082
